ID,year,age,sex,status,education,jobclass,health,health_ins,logwage,wage
131,2007,49,Male,Divorced,HS Grad,Industrial,Good,Yes,4.650064561,104.5917379
132,2008,52,Male,Divorced,Advanced Degree,Information,Very Good,Yes,4.886490725,132.4878211
133,2007,43,Male,Married,Advanced Degree,Information,Very Good,Yes,4.954242509,141.7751723
134,2008,60,Male,Married,College Grad,Information,Very Good,Yes,4.812913357,123.0896998
135,2005,46,Male,Married,Advanced Degree,Information,Very Good,Yes,4.903089987,134.7053751
136,2004,21,Male,Never Married,HS Grad,Information,Very Good,No,4.021189299,55.76739051
137,2009,61,Male,Married,College Grad,Industrial,Very Good,Yes,4.672097858,106.9218141
138,2007,32,Male,Married,Advanced Degree,Information,Very Good,Yes,4.77815125,118.8843593
139,2004,58,Male,Married,HS Grad,Information,Good,Yes,4.477121255,87.98103279
140,2003,35,Male,Never Married,HS Grad,Information,Very Good,Yes,4.48784512,88.92960664
141,2004,26,Male,Never Married,HS Grad,Information,Very Good,Yes,4.397940009,81.28325328
142,2006,32,Male,Never Married,HS Grad,Industrial,Very Good,No,4.544068044,94.07271475
143,2003,37,Male,Married,HS Grad,Information,Very Good,Yes,4.672097858,106.9218141
144,2007,22,Male,Never Married,HS Grad,Industrial,Good,No,4.079181246,59.09706408
145,2005,51,Male,Never Married,HS Grad,Industrial,Good,No,4.176091259,65.11085372
146,2004,44,Male,Divorced,Advanced Degree,Information,Good,Yes,4.792391689,120.5894365
147,2005,35,Male,Married,Advanced Degree,Industrial,Very Good,Yes,5.06069784,157.7005277
148,2004,60,Male,Married,HS Grad,Information,Very Good,Yes,4.86332286,129.4536446
149,2007,40,Male,Married,College Grad,Information,Very Good,Yes,5.176091259,176.9896505
150,2004,35,Male,Never Married,Less than HS Grad,Information,Very Good,No,4.079181246,59.09706408
151,2007,35,Male,Married,Advanced Degree,Information,Very Good,No,4.544068044,94.07271475
152,2008,47,Male,Married,HS Grad,Industrial,Very Good,Yes,4.903089987,134.7053751
153,2003,43,Male,Never Married,College Grad,Information,Very Good,Yes,4.397940009,81.28325328
154,2003,33,Male,Married,Less than HS Grad,Industrial,Good,Yes,4.397940009,81.28325328
155,2003,60,Male,Divorced,Advanced Degree,Industrial,Very Good,Yes,5.033423755,153.4575153
156,2008,38,Male,Married,Advanced Degree,Industrial,Very Good,Yes,4.919078092,136.8763676
157,2005,53,Male,Married,HS Grad,Information,Very Good,No,4.318063335,75.04315402
158,2004,55,Male,Married,Some College,Information,Very Good,Yes,4.86923172,130.2208324
159,2003,57,Male,Married,HS Grad,Information,Good,No,4.653212514,104.9215065
160,2005,64,Male,Married,College Grad,Information,Good,No,3.903089987,49.55533812
161,2007,43,Male,Married,HS Grad,Industrial,Good,Yes,4.819543936,123.9085676
162,2008,35,Male,Married,Some College,Information,Very Good,Yes,4.812913357,123.0896998
163,2008,54,Male,Married,HS Grad,Information,Very Good,No,4.3586961,78.15516141
164,2007,45,Male,Married,HS Grad,Information,Good,Yes,4.301029996,73.77574327
165,2003,58,Male,Divorced,College Grad,Information,Very Good,Yes,4.929418926,138.2991269
166,2007,48,Male,Married,College Grad,Information,Good,No,4.84509804,127.1157438
167,2003,46,Male,Married,Less than HS Grad,Industrial,Very Good,Yes,4.230448921,68.74808773
168,2004,46,Male,Married,HS Grad,Industrial,Very Good,Yes,4.435462121,84.39111475
169,2009,55,Male,Married,Less than HS Grad,Industrial,Very Good,Yes,4.447158031,85.38394038
170,2006,51,Male,Married,Some College,Industrial,Very Good,Yes,4.857332496,128.6804882
171,2005,49,Male,Married,Some College,Industrial,Very Good,Yes,4.255272505,70.47601965
172,2008,34,Male,Never Married,Some College,Industrial,Very Good,Yes,4.342422681,76.89360252
173,2007,53,Male,Married,Some College,Industrial,Very Good,No,5,148.4131591
174,2004,40,Male,Married,Some College,Industrial,Very Good,Yes,5,148.4131591
175,2009,50,Male,Married,Some College,Industrial,Very Good,Yes,5.170261715,175.9608831
176,2006,37,Male,Divorced,Less than HS Grad,Information,Good,Yes,4.591064607,98.59934386
177,2003,39,Male,Married,Some College,Industrial,Very Good,Yes,4.977723605,145.1436012
178,2004,52,Male,Married,College Grad,Industrial,Good,Yes,4.602059991,99.6894637
179,2003,50,Male,Married,HS Grad,Information,Very Good,Yes,4.949390007,141.0888744
180,2006,48,Male,Married,College Grad,Industrial,Very Good,Yes,4.812913357,123.0896998
181,2006,47,Male,Married,HS Grad,Industrial,Very Good,Yes,4.86332286,129.4536446
182,2005,27,Male,Married,College Grad,Industrial,Very Good,Yes,4.716003344,111.7208494
183,2006,39,Male,Married,HS Grad,Industrial,Very Good,Yes,4.643452676,103.9024706
184,2009,44,Male,Married,HS Grad,Information,Good,Yes,4.77815125,118.8843593
185,2003,37,Male,Married,Some College,Industrial,Very Good,Yes,5.021189299,151.5914842
186,2006,52,Male,Married,HS Grad,Industrial,Good,No,4.62324929,101.8243521
187,2004,26,Male,Never Married,Some College,Industrial,Very Good,Yes,4.602059991,99.6894637
188,2008,39,Male,Married,Advanced Degree,Industrial,Good,Yes,4.602059991,99.6894637
189,2006,25,Male,Married,HS Grad,Industrial,Good,No,4.602059991,99.6894637
190,2005,31,Male,Never Married,College Grad,Information,Very Good,No,4.544068044,94.07271475
191,2004,58,Male,Married,Some College,Industrial,Good,Yes,5.025305865,152.2168068
192,2005,30,Male,Married,College Grad,Information,Very Good,Yes,4.653212514,104.9215065
193,2004,27,Male,Married,Less than HS Grad,Industrial,Good,Yes,4.176091259,65.11085372
194,2003,40,Male,Divorced,HS Grad,Industrial,Very Good,Yes,4.556302501,95.23071257
195,2006,55,Male,Married,Advanced Degree,Industrial,Very Good,Yes,5.158362492,173.8794933
196,2009,35,Male,Married,Advanced Degree,Information,Very Good,Yes,5.264817823,193.4110705
197,2008,48,Male,Married,HS Grad,Industrial,Good,No,4.740362689,114.4757133
198,2006,29,Male,Never Married,College Grad,Industrial,Good,Yes,5.079181246,160.6424754
199,2005,25,Male,Never Married,Some College,Industrial,Very Good,Yes,4.494154594,89.49247952
200,2004,40,Male,Married,Some College,Industrial,Very Good,Yes,4.792391689,120.5894365
201,2006,27,Male,Married,Less than HS Grad,Information,Good,No,4.301029996,73.77574327
202,2006,44,Male,Married,HS Grad,Information,Very Good,Yes,4.84509804,127.1157438
203,2006,49,Male,Married,Some College,Information,Very Good,Yes,4.77815125,118.8843593
204,2003,22,Male,Never Married,Some College,Industrial,Good,No,3.544068044,34.60741773
205,2007,45,Male,Married,Some College,Industrial,Good,Yes,4.740362689,114.4757133
206,2007,33,Male,Married,Some College,Industrial,Very Good,No,4.447158031,85.38394038
207,2007,63,Male,Married,Advanced Degree,Information,Very Good,Yes,5.763127627,318.3424301
208,2006,49,Male,Never Married,College Grad,Industrial,Very Good,Yes,4.954242509,141.7751723
209,2005,39,Male,Never Married,Advanced Degree,Information,Very Good,Yes,4.875061263,130.9821774
210,2007,25,Male,Never Married,Less than HS Grad,Industrial,Good,No,4.301029996,73.77574327
211,2005,29,Male,Never Married,Advanced Degree,Information,Very Good,Yes,4.875061263,130.9821774
212,2006,37,Male,Married,HS Grad,Industrial,Very Good,Yes,4.318063335,75.04315402
213,2008,35,Male,Married,Advanced Degree,Information,Good,Yes,5.043362278,154.9902603
214,2009,46,Male,Married,HS Grad,Industrial,Good,Yes,4.653212514,104.9215065
215,2008,58,Male,Married,College Grad,Industrial,Very Good,Yes,4.292078772,73.11830692
216,2003,39,Male,Married,Advanced Degree,Industrial,Very Good,Yes,4.812913357,123.0896998
217,2008,41,Male,Married,College Grad,Information,Very Good,Yes,5.06069784,157.7005277
218,2008,29,Male,Married,College Grad,Information,Very Good,Yes,4.397940009,81.28325328
219,2009,37,Male,Married,College Grad,Information,Good,Yes,4.67521908,107.2560621
220,2009,62,Male,Married,HS Grad,Information,Good,No,4.369215857,78.98167452
221,2008,27,Male,Never Married,HS Grad,Industrial,Very Good,Yes,4.301029996,73.77574327
222,2003,37,Male,Married,HS Grad,Industrial,Good,Yes,4.544068044,94.07271475
223,2006,56,Male,Separated,College Grad,Information,Good,No,4.602059991,99.6894637
224,2004,36,Male,Married,Some College,Information,Very Good,Yes,5.176091259,176.9896505
225,2005,23,Male,Never Married,HS Grad,Information,Very Good,No,4.301029996,73.77574327
226,2003,46,Male,Married,Some College,Information,Very Good,Yes,4.602059991,99.6894637
227,2009,26,Male,Never Married,Some College,Industrial,Very Good,No,4.544068044,94.07271475
228,2006,43,Male,Married,Less than HS Grad,Information,Very Good,Yes,4.556302501,95.23071257
229,2007,36,Male,Married,HS Grad,Information,Very Good,Yes,4.84509804,127.1157438
230,2003,54,Male,Separated,Some College,Information,Good,Yes,4.602059991,99.6894637
231,2003,62,Male,Married,HS Grad,Industrial,Very Good,Yes,4.561101384,95.68881191
232,2006,40,Male,Married,HS Grad,Industrial,Very Good,Yes,4.698970004,109.8339856
233,2006,53,Male,Married,Some College,Industrial,Very Good,Yes,4.77815125,118.8843593
234,2007,48,Male,Married,Advanced Degree,Information,Very Good,Yes,5.176091259,176.9896505
235,2004,23,Male,Married,College Grad,Industrial,Very Good,No,4.113943352,61.18752643
236,2009,34,Male,Married,HS Grad,Industrial,Very Good,Yes,4.397940009,81.28325328
237,2004,43,Male,Married,College Grad,Information,Very Good,No,5.546741258,256.4006496
238,2006,55,Male,Married,HS Grad,Information,Good,Yes,4.397940009,81.28325328
239,2007,59,Male,Never Married,HS Grad,Information,Very Good,Yes,4.397940009,81.28325328
240,2007,60,Male,Married,HS Grad,Information,Very Good,No,4.021189299,55.76739051
241,2009,49,Male,Never Married,HS Grad,Industrial,Very Good,Yes,4.322219295,75.35567932
242,2006,45,Male,Married,Some College,Industrial,Very Good,Yes,4.875061263,130.9821774
243,2006,31,Male,Divorced,HS Grad,Industrial,Very Good,No,3.77815125,43.73511168
244,2004,34,Male,Never Married,College Grad,Information,Good,Yes,4.740362689,114.4757133
245,2005,26,Male,Never Married,Advanced Degree,Information,Very Good,Yes,4.740362689,114.4757133
246,2007,22,Male,Never Married,HS Grad,Industrial,Very Good,No,4.397940009,81.28325328
247,2004,40,Male,Married,HS Grad,Information,Good,No,4.227886705,68.5721657
248,2009,41,Male,Married,Some College,Information,Very Good,Yes,4.698970004,109.8339856
249,2006,36,Male,Never Married,Some College,Industrial,Very Good,Yes,4.579783597,97.49329405
250,2007,38,Male,Married,Less than HS Grad,Industrial,Very Good,No,4.133538908,62.39835472
251,2003,48,Male,Married,HS Grad,Industrial,Very Good,No,4.579783597,97.49329405
252,2006,47,Male,Married,Some College,Information,Very Good,Yes,4.903089987,134.7053751
253,2005,47,Male,Separated,Less than HS Grad,Industrial,Good,No,4.113943352,61.18752643
254,2007,35,Male,Married,College Grad,Information,Good,No,4.77815125,118.8843593
255,2008,49,Male,Married,HS Grad,Information,Very Good,Yes,4.176091259,65.11085372
256,2004,40,Male,Married,Some College,Information,Very Good,Yes,4.698970004,109.8339856
257,2004,32,Male,Widowed,College Grad,Industrial,Very Good,No,4.653212514,104.9215065
258,2008,57,Male,Married,College Grad,Industrial,Very Good,Yes,4.301029996,73.77574327
259,2008,56,Male,Married,College Grad,Industrial,Very Good,Yes,4.954242509,141.7751723
260,2009,73,Male,Married,Less than HS Grad,Industrial,Good,No,4.505149978,90.48191336
261,2007,29,Male,Never Married,HS Grad,Industrial,Good,Yes,4.301029996,73.77574327
262,2003,49,Male,Married,Advanced Degree,Industrial,Very Good,Yes,4.903089987,134.7053751
263,2009,30,Male,Never Married,HS Grad,Industrial,Very Good,Yes,4.698970004,109.8339856
264,2008,29,Male,Married,HS Grad,Industrial,Very Good,Yes,4.51851394,91.69922611
265,2004,36,Male,Married,Some College,Information,Very Good,No,4.556302501,95.23071257
266,2009,39,Male,Married,Advanced Degree,Information,Very Good,Yes,5.053078443,156.5035109
267,2007,48,Male,Married,College Grad,Information,Very Good,Yes,4.653212514,104.9215065
268,2006,45,Male,Married,College Grad,Industrial,Very Good,Yes,4.602059991,99.6894637
269,2004,50,Male,Married,College Grad,Industrial,Good,No,4,54.59815003
270,2003,42,Male,Married,College Grad,Information,Very Good,Yes,3.477121255,32.36641317
271,2007,58,Male,Married,Some College,Industrial,Good,No,4.77815125,118.8843593
272,2007,48,Male,Married,HS Grad,Industrial,Very Good,Yes,4.698970004,109.8339856
273,2003,48,Male,Married,College Grad,Industrial,Very Good,Yes,4.698970004,109.8339856
274,2005,45,Male,Married,Some College,Information,Very Good,Yes,4.77815125,118.8843593
275,2007,41,Male,Divorced,Some College,Industrial,Very Good,Yes,4.707570176,110.7826503
276,2008,27,Male,Never Married,HS Grad,Industrial,Very Good,Yes,4.538573734,93.55726735
277,2004,44,Male,Married,HS Grad,Information,Very Good,Yes,4.698970004,109.8339856
278,2003,32,Male,Married,College Grad,Information,Very Good,Yes,4.77815125,118.8843593
279,2006,46,Male,Married,Less than HS Grad,Information,Very Good,Yes,4.77815125,118.8843593
280,2005,52,Male,Married,HS Grad,Information,Good,No,3.954242509,52.15617117
281,2003,22,Male,Never Married,Some College,Industrial,Very Good,No,3.77815125,43.73511168
282,2004,53,Male,Widowed,HS Grad,Industrial,Very Good,Yes,4.763427994,117.1468169
283,2008,34,Male,Married,Advanced Degree,Industrial,Good,Yes,4.77815125,118.8843593
284,2009,38,Male,Married,HS Grad,Industrial,Very Good,Yes,5,148.4131591
285,2009,42,Male,Married,Less than HS Grad,Information,Very Good,Yes,4.62324929,101.8243521
286,2005,25,Male,Never Married,Some College,Information,Very Good,Yes,4.544068044,94.07271475
287,2004,29,Male,Never Married,Some College,Industrial,Very Good,Yes,4.462397998,86.69515483
288,2005,28,Male,Married,Advanced Degree,Information,Very Good,Yes,4.954242509,141.7751723
289,2005,46,Male,Married,College Grad,Industrial,Very Good,Yes,4.204119983,66.96164432
290,2007,55,Male,Married,Advanced Degree,Information,Very Good,Yes,4.77815125,118.8843593
291,2004,56,Male,Married,HS Grad,Industrial,Good,No,4.661244609,105.7676396
292,2005,41,Male,Divorced,HS Grad,Information,Good,Yes,4.77815125,118.8843593
293,2009,61,Male,Married,Advanced Degree,Information,Very Good,No,5.176091259,176.9896505
294,2003,47,Male,Married,HS Grad,Information,Very Good,Yes,4.176091259,65.11085372
295,2006,52,Male,Married,Some College,Industrial,Very Good,Yes,4.447158031,85.38394038
296,2004,27,Male,Married,HS Grad,Industrial,Very Good,No,4.278753601,72.15045568
297,2007,33,Male,Never Married,Some College,Information,Very Good,Yes,4.491361694,89.24288466
298,2003,58,Male,Never Married,HS Grad,Information,Good,Yes,4.176091259,65.11085372
299,2005,27,Male,Married,College Grad,Industrial,Very Good,Yes,4.982271233,145.8051634
300,2009,52,Male,Separated,HS Grad,Industrial,Very Good,Yes,4.477121255,87.98103279
301,2003,45,Male,Married,Advanced Degree,Industrial,Very Good,No,3.716003344,41.09980363
302,2003,22,Male,Never Married,HS Grad,Information,Very Good,Yes,4.225309282,68.3956538
303,2005,25,Male,Never Married,Some College,Industrial,Good,Yes,4.397940009,81.28325328
304,2004,25,Male,Never Married,HS Grad,Industrial,Very Good,Yes,4.301029996,73.77574327
305,2005,41,Male,Married,Less than HS Grad,Industrial,Very Good,Yes,4.875061263,130.9821774
306,2006,54,Male,Separated,College Grad,Industrial,Very Good,Yes,5,148.4131591
307,2007,23,Male,Married,HS Grad,Industrial,Very Good,Yes,4.397244581,81.22674631
308,2006,36,Male,Never Married,Advanced Degree,Industrial,Very Good,Yes,4.146128036,63.188861
309,2004,31,Male,Separated,Some College,Industrial,Good,Yes,4.544068044,94.07271475
310,2006,52,Male,Married,HS Grad,Information,Good,Yes,4.5289167,92.65813017
311,2007,46,Male,Married,HS Grad,Information,Good,No,4.342422681,76.89360252
312,2007,45,Male,Married,HS Grad,Industrial,Good,Yes,4.77815125,118.8843593
313,2009,40,Male,Married,HS Grad,Industrial,Good,No,4.380211242,79.85490031
314,2004,33,Male,Never Married,College Grad,Information,Very Good,Yes,4.462397998,86.69515483
315,2007,42,Male,Married,College Grad,Information,Very Good,Yes,4.897627091,133.9715001
316,2007,41,Male,Married,College Grad,Information,Very Good,Yes,4.832508913,125.5254984
317,2007,25,Male,Never Married,HS Grad,Industrial,Very Good,Yes,4.531478917,92.89584479
318,2005,24,Male,Divorced,HS Grad,Industrial,Very Good,Yes,4.278753601,72.15045568
319,2006,24,Male,Never Married,Some College,Industrial,Very Good,No,4.77815125,118.8843593
320,2008,51,Male,Married,HS Grad,Information,Good,No,4.255272505,70.47601965
